"numer","strona","typ_budynku","numer_dzialki","powierzchnia","powierzchnia_posadzki","etap","termin","cena","status"
"1-P","P","A1",830,137,177,"I","II kwartał 2017",549000,"Sprzedany"
"1-L","L","A1",830,137,177,"I","II kwartał 2017",549000,"Sprzedany"
"2-P","P","A1",831,137,177,"I","II kwartał 2017",549000,"Sprzedany"
"2-L","L","A1",831,137,177,"I","II kwartał 2017",549000,"Sprzedany"
"3-P","P","A1",832,137,177,"I","II kwartał 2017",549000,"Sprzedany"
"3-L","L","A1",832,137,177,"I","II kwartał 2017",549000,"Sprzedany"
"4-P","P","A1",833,137,177,"II","I kwartał 2018",549000,"Dostępny"
"4-L","L","A1",833,137,177,"II","I kwartał 2018",549000,"Rezerwacja"
"5-P","P","A1",834,137,177,"II","I kwartał 2018",549000,"Dostępny"
"5-L","L","A1",834,137,177,"II","I kwartał 2018",549000,"Dostępny"
"6-L","L","C1",835,138,159,"III","II kwartał 2018",549000,"Dostępny"
"6-P","P","C1",835,138,159,"III","II kwartał 2018",549000,"Dostępny"
"7-L","L","A2",836,134,155,"III","II kwartał 2018",549000,"Sprzedany"
"7-P","P","A2",836,134,155,"III","II kwartał 2018",549000,"Dostępny"
"8-L","L","A3",837,134,156,"III","II kwartał 2018",549000,"Rezerwacja"
"8-P","P","A3",837,116,155,"III","II kwartał 2018",549000,"Rezerwacja"
"9-L","L","B1",838,114,158,"III","II kwartał 2018",549000,"Dostępny"
"9-P","P","B1",838,114,158,"III","II kwartał 2018",549000,"Rezerwacja"
